"Отчёт анализа ";;;;;;;;

"Паспорт хроматограммы";;;;;;;;
"Оператор:";;"";;;;;;
"Хроматограмма:";;"№1107   2024-01-24 17:28:09";;;;;;
"Файл:";;"D:\Analytic 3\Projects\Сидоров Р\.chromatograms\2024-01-24 17-28-09 1107.chrx";;;;;;
"Хроматограф:";;"Хроматэк-Кристалл 5000  №: 2252360  Версия прошивки: v 03.21.17.743";;;;;;
"Метод:";;"D:\Analytic 3\Projects\Сидоров Р\.chromatograms\2024-01-24 16-37-35 1106.chrx";;;;;;
"Последовательность:";;"";;;;;;
"Проба:";;"Lunaria_SAP_TAG_1";;;;;;
;;;;;;
"Объём пробы:";;"1 ";;;;;;
;;;;;;
"Разведение:";;"1";;;;;;
"Колонка:";;"";;;;;;
"Комментарии:";;"";;;;;;

"Результат анализа";;;;;;;;
"Компонент";;;"Время
(мин)";"Площадь
(мВ*с)";;"Площадь
(%)"
"Methyl tetradecanoate";;;"13.687";"124437.610";;"0.017"
"Hexadecanoic acid, methyl ester";;;"17.506";"10781210.085";;"1.509"
"7-Hexadecenoic acid, methyl ester, (Z)-";;;"18.493";"476715.439";;"0.067"
"9-Hexadecenoic acid, methyl ester, (Z)-";;;"18.708";"89458.904";;"0.013"
"Methyl stearate";;;"22.416";"618849.878";;"0.087"
"9-Octadecenoic acid, methyl ester";;;"23.755";"134341502.213";;"18.806"
"11-Octadecenoic acid, methyl ester";;;"23.910";"2757704.759";;"0.386"
"9,12-Octadecadienoic acid, methyl ester";;;"25.781";"84959859.437";;"11.893"
"Eicosanoic acid, methyl ester";;;"27.618";"279627.383";;"0.039"
"9,12,15-Octadecatrienoic acid, methyl ester, (Z,Z,Z)-";;;"28.073";"10953346.497";;"1.533"
"cis-Methyl 11-eicosenoate";;;"28.802";"70481231.201";;"9.866"
"cis-13-Eicosenoic acid";;;"28.982";"1091185.304";;"0.153"
"11,14-Eicosadienoic acid, methyl ester";;;"30.596";"1078427.538";;"0.151"
"13-Docosenoic acid, methyl ester";;;"33.497";"342828136.254";;"47.990"
"Methyl 11-docosenoate";;;"33.592";"2547570.749";;"0.357"
"cis-13,16-Docasadienoic acid";;;"34.991";"1678508.413";;"0.235"
"15-Tetracosenoic acid, methyl ester";;;"37.454";"49073923.682";;"6.870"
"11,14-Eicosadienoic acid, methyl ester";;;"38.879";"207351.109";;"0.029"
"Сумма";;;"";"714369046.456";;"100.000"
"";;;;;;;;

"Оператор:";"";;;;"";;;"Страница 1 из 1"
"Отчет создан:";"2024-02-18 12:43:20";;;;;;;
"";;;;;;;;
